Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
17000,3641,285,59,35,9999,0,1500,0,3812,6709,3,4,1478,525,2000,0,0,64,72,51,0,0,5,0,0,1440,1584,12841,988,124,26,47,33,33,39,15,14,26,0,99,0,0,10430,390,0,230,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17999,3641,285,59,35,9999,0,1500,0,3812,6003,4,4,1478,525,1555,0,0,68,72,51,0,0,21,0,0,1440,1584,13119,1060,150,52,38,27,28,39,45,5,52,9,18,0,0,10430,390,0,230,46,277,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19005,3641,285,59,35,9999,0,1500,0,3812,6095,4,4,1478,525,1353,0,0,53,72,52,0,0,7,0,0,1440,1584,13539,1088,119,19,40,42,31,26,19,14,5,13,96,0,0,10430,390,0,230,46,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,2789,1169,59,35,9999,0,1209,0,3760,4545,4,4,1478,525,1353,0,0,64,72,52,0,0,7,0,0,1440,1584,14149,1087,121,27,54,25,30,40,14,27,14,9,93,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001,2789,1169,59,35,9999,0,1446,0,3760,5436,4,4,1478,525,1555,0,0,59,72,52,0,0,12,0,0,1440,1584,16273,1090,118,19,35,36,41,33,19,18,19,9,73,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21999,2789,1169,59,35,9999,0,1473,0,3760,5538,4,4,1478,525,1804,0,0,36,72,53,0,0,35,0,0,1440,1584,17826,1092,120,20,36,39,39,39,14,20,10,5,78,0,0,11266,1284,0,1100,52,1153,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22999,2789,1169,59,35,9999,0,1441,0,3760,5418,4,4,1478,525,1804,0,0,37,72,55,0,0,36,0,0,1440,1584,18400,1105,120,19,50,36,36,25,5,18,19,5,75,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24001,2789,1169,59,35,9999,0,1451,0,3760,5455,4,4,1478,525,1804,0,0,37,72,56,0,0,37,0,0,1440,1584,17340,1105,121,19,39,28,36,38,19,5,14,5,75,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000,2789,1169,59,35,9999,0,1500,0,3760,5858,4,4,1478,525,1804,0,0,37,72,55,0,0,36,0,0,1440,1584,18433,1087,120,19,31,40,30,26,14,14,19,13,73,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26001,2789,1169,59,35,9999,0,1438,0,3760,5406,4,4,1478,525,1804,0,0,37,72,55,0,0,37,0,0,1440,1584,18399,1083,120,19,52,35,33,30,10,10,19,9,72,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27001,2789,1169,59,35,9999,0,1449,0,3760,5448,4,4,1478,525,1804,0,0,36,72,55,0,0,37,0,0,1440,1584,17496,1101,121,19,26,54,28,33,19,10,19,9,78,0,0,11266,1284,0,1100,52,1153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28000,2789,1169,59,35,9999,0,1500,0,3760,5831,4,4,1478,525,1804,0,0,37,72,54,0,0,37,0,0,1440,1584,17778,1084,119,25,27,51,25,26,19,25,22,9,78,0,0,11266,1284,0,1100,52,1153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29000,2789,1169,59,35,9999,0,1500,0,3760,5903,4,4,1478,525,1804,0,0,41,72,55,0,0,36,0,0,1440,1584,17423,1099,120,22,36,40,36,26,19,5,22,9,88,0,0,11266,1284,0,1100,52,1153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,2789,1169,59,35,9999,0,1500,0,3760,5805,4,4,1478,525,1804,0,0,47,72,53,0,0,26,0,0,1440,1584,17245,1072,122,30,42,35,41,35,14,22,30,4,88,0,0,11266,1284,0,1100,52,1153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31000,2789,1169,59,35,9999,0,1480,0,3760,5564,4,4,1478,525,1804,0,0,43,72,53,0,0,28,0,0,1440,1584,17309,1095,121,23,38,47,41,45,5,19,23,5,84,0,0,11266,1284,0,1100,52,1153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32001,2789,1169,59,35,9999,0,1500,0,3760,5929,4,4,1478,525,1804,0,0,40,72,54,0,0,33,0,0,1440,1584,17603,1095,121,21,50,36,30,36,21,10,21,9,74,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,2789,1169,59,35,9999,0,1500,0,3760,5880,4,4,1478,525,1804,0,0,37,72,55,0,0,37,0,0,1440,1584,17700,1104,121,26,42,36,36,38,19,21,26,5,73,0,0,11266,1284,0,1100,52,1153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34000,2789,1169,59,35,9999,0,1475,0,3760,5546,4,4,1478,525,1804,0,0,36,72,54,0,0,37,0,0,1440,1584,17797,1092,121,9,54,22,43,25,9,5,5,4,75,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,2789,1169,59,35,9999,0,1500,0,3760,6260,4,4,1478,525,2000,0,0,37,72,55,0,0,36,0,0,1440,1584,16950,1089,121,22,42,45,30,33,19,10,22,9,72,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36000,2789,1169,59,35,9999,0,1500,0,3760,6373,4,4,1478,525,2000,0,0,37,72,55,0,0,37,0,0,1440,1584,16295,1006,121,14,38,38,31,41,14,14,14,13,88,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37000,2789,1169,59,35,9999,0,1500,0,3760,6373,4,4,1478,525,2000,0,0,46,72,54,0,0,30,0,0,1440,1584,16378,1026,119,29,47,35,25,19,18,29,14,13,87,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38000,2789,1169,59,35,9999,0,1500,0,3760,5760,4,4,1478,525,2000,0,0,48,72,53,0,0,25,0,0,1440,1584,15930,1015,118,23,36,38,36,30,21,18,23,5,86,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39000,2789,1169,59,35,9999,0,1500,0,3760,6136,4,4,1478,525,2000,0,0,48,72,54,0,0,25,0,0,1440,1584,15259,987,112,15,60,54,47,30,15,10,11,9,90,0,0,11266,1284,0,1100,52,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40009,2785,1179,58,35,9999,0,1500,0,3753,6263,4,4,1478,525,2000,0,0,52,72,53,0,0,21,0,0,1440,1584,16163,1018,113,19,47,26,39,37,19,14,18,9,87,0,0,11274,1294,0,1110,52,1163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41000,2785,1179,58,35,9999,0,1500,0,3753,5772,4,4,1478,525,1804,0,0,48,72,53,0,0,25,0,0,1440,1584,16821,999,111,19,40,36,39,35,19,19,5,9,90,0,0,11274,1294,0,1110,52,1163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42000,2785,1179,58,35,9999,0,1500,0,3753,5738,4,4,1478,525,1804,0,0,48,72,53,0,0,25,0,0,1440,1584,16360,1068,112,11,50,36,38,43,11,10,10,5,85,0,0,11274,1294,0,1110,52,1163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43002,2785,1179,58,35,9999,0,1424,0,3753,5344,4,4,1478,525,1804,0,0,44,72,52,0,0,29,0,0,1440,1584,16374,1057,112,19,50,33,31,40,19,14,19,5,89,0,0,11274,1294,0,1110,52,1163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44001,2785,1179,58,35,9999,0,1500,0,3753,5757,4,4,1478,525,1804,0,0,43,72,53,0,0,30,0,0,1440,1584,16166,1057,114,26,38,39,45,31,15,18,26,9,74,0,0,11274,1294,0,1110,52,1163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45001,2785,1179,58,35,9999,0,1500,0,3753,6218,4,4,1478,525,1804,0,0,47,72,53,0,0,31,0,0,1440,1584,14762,1040,114,23,42,42,43,38,15,15,23,5,94,0,0,11274,1294,0,1110,52,1163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46001,2785,1179,58,35,9999,0,1500,0,3753,5869,4,4,1478,525,1804,0,0,55,72,52,0,0,19,0,0,1440,1584,14865,1006,111,19,50,27,31,36,15,19,14,13,94,0,0,11274,1294,0,1110,52,1163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47001,2785,1179,58,35,9999,0,1464,0,3753,5494,4,4,1478,525,1804,0,0,51,72,52,0,0,22,0,0,1440,1584,18367,1111,122,19,45,38,33,39,5,19,5,5,77,0,0,11274,1294,0,1110,52,1163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48001,2785,1179,58,35,9999,0,1500,0,3753,5971,4,4,1478,525,1804,0,0,37,72,55,0,0,34,0,0,1440,1584,17459,1110,119,19,50,38,30,25,10,10,19,5,76,0,0,11274,1294,0,1110,52,1163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49001,2785,1179,58,35,9999,0,1474,0,3753,5531,4,4,1478,525,1804,0,0,41,72,54,0,0,35,0,0,1440,1584,17932,1085,121,19,40,39,39,30,18,18,19,9,77,0,0,11274,1294,0,1110,52,1163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
