Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
993,3621,285,61,33,9999,0,1136,0,3818,4337,2,2,2419,441,2000,0,0,67,72,38,0,2,33,0,0,1440,1584,1217,1335,194,9,55,50,50,35,5,0,9,0,19,0,0,10420,389,0,230,46,276,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,3621,285,61,33,9999,0,1063,0,3818,4058,2,2,2419,441,2000,0,0,72,72,40,0,0,0,0,0,1440,1584,1181,970,125,14,54,66,52,72,14,5,4,5,18,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,3621,285,61,33,9999,0,1114,0,3818,4253,2,2,2419,441,2000,0,0,72,72,36,0,0,0,0,0,1440,1584,1109,973,131,9,68,76,59,71,5,9,5,0,18,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3993,3621,285,61,33,9999,0,1053,0,3818,4020,2,2,1382,441,1353,0,0,73,72,37,0,0,0,0,0,1440,1584,1174,974,133,61,44,39,33,30,9,61,39,5,9,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4993,3621,285,61,33,9999,0,1148,0,3818,4383,3,2,1478,441,2000,0,0,18,72,39,0,0,19,0,0,1440,1584,976,969,133,80,39,19,26,31,5,19,80,13,6,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5993,3621,285,61,33,9999,0,1022,0,3818,3901,3,2,1478,441,1353,0,0,18,72,38,0,0,19,0,0,1440,1584,976,969,133,80,39,19,26,31,5,19,80,13,6,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6993,3621,285,61,33,9999,0,929,0,3840,3567,3,2,1478,441,1353,0,0,18,72,38,0,0,19,0,0,1440,1584,976,969,133,80,39,19,26,31,5,19,80,13,6,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7993,3621,285,61,33,9999,0,984,0,3840,3778,4,2,1478,441,2000,0,0,3,72,40,0,0,73,0,0,1440,1584,1287,940,130,64,39,52,33,27,14,28,64,13,9,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8993,3621,285,61,33,9999,0,964,0,3837,3698,4,2,1478,441,1353,0,0,57,72,39,0,8,70,0,0,1440,1584,145,903,99,19,35,34,35,38,5,5,19,5,10,0,0,10420,389,0,230,46,276,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9994,3621,285,61,33,9999,0,885,0,3837,3395,4,2,1478,441,1353,0,0,57,72,40,0,8,70,0,0,1440,1584,145,903,99,19,35,34,35,38,5,5,19,5,10,0,0,10420,389,0,230,46,276,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10994,3621,285,61,33,9999,0,947,0,3837,3633,4,2,1478,490,1353,0,0,57,72,39,0,8,70,0,0,1440,1584,145,903,99,19,35,34,35,38,5,5,19,5,10,0,0,10420,389,0,230,46,276,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11994,3621,285,61,33,9999,0,945,0,3837,3625,4,2,1478,490,1353,0,0,57,72,39,0,8,70,0,0,1440,1584,145,903,99,19,35,34,35,38,5,5,19,5,10,0,0,10420,389,0,230,46,276,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12994,3621,285,61,33,9999,0,950,0,3837,3645,4,2,1382,490,1353,0,0,57,72,40,0,8,70,0,0,1440,1584,145,903,99,19,35,34,35,38,5,5,19,5,10,0,0,10420,389,0,230,46,276,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13994,3621,285,61,33,9999,0,1009,0,3837,3871,3,3,1478,490,2000,0,0,57,72,39,0,16,3,0,0,1440,1584,136,731,0,90,52,36,42,64,90,9,9,4,98,0,0,10420,389,0,230,46,276,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14994,3621,285,61,33,9999,0,1500,0,3837,7002,4,3,1478,490,2000,0,0,66,72,55,4,1,59,0,0,1440,1584,11659,881,0,19,60,22,44,50,18,15,19,18,94,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15994,3621,285,61,33,9999,0,1500,0,3837,6373,4,3,1382,525,1555,0,0,55,72,53,0,3,4,0,0,1440,1584,13993,1011,0,26,44,34,15,11,18,26,19,5,95,0,0,10420,389,0,230,46,276,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16994,3621,285,61,33,9999,0,1500,0,3837,6668,3,4,1382,525,1555,0,0,65,72,52,0,0,11,0,0,1440,1584,12411,1041,114,28,39,33,12,26,10,28,19,5,99,0,0,10420,389,0,230,46,276,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17994,3621,285,61,33,9999,0,1500,0,3837,6411,3,4,1382,525,1555,0,0,71,72,53,0,0,1,0,0,1440,1584,12369,1050,108,19,17,39,28,23,14,19,14,9,99,0,0,10420,389,0,230,46,276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18994,3621,285,61,33,9999,0,1500,0,3778,6449,3,4,1382,525,1555,0,0,72,72,55,0,0,0,0,0,1440,1584,12778,1012,113,55,29,36,30,22,23,33,55,5,27,0,0,10420,389,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,2803,1142,61,33,9999,0,1500,0,3778,6267,3,4,1382,525,1555,0,0,56,72,52,0,0,23,0,0,1440,1584,11707,1100,226,31,25,30,25,27,19,14,31,5,95,0,0,11252,1256,0,1074,52,1126,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
