"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 11:09:18.886"	"21.559134957819487965"	"1499"	"1773441024"	"16321306624"	"1428119552"	"1288626176"
"08/05/2022 11:09:19.884"	"23.476430965470036938"	"1501"	"1773715456"	"16321306624"	"1428385792"	"1288892416"
"08/05/2022 11:09:20.886"	"23.398772691318598049"	"1499"	"1774268416"	"16321306624"	"1428918272"	"1289424896"
"08/05/2022 11:09:21.883"	"28.210115560669652979"	"1499"	"1774817280"	"16321306624"	"1429450752"	"1289957376"
"08/05/2022 11:09:22.884"	"46.780129896569754067"	"1499"	"1775366144"	"16321306624"	"1429983232"	"1290489856"
"08/05/2022 11:09:23.877"	"25.184268253960578221"	"1499"	"1775919104"	"16321306624"	"1430515712"	"1291022336"
"08/05/2022 11:09:24.868"	"26.813622986076097732"	"1499"	"1776193536"	"16321306624"	"1430781952"	"1291288576"
"08/05/2022 11:09:25.883"	"33.879081394456086684"	"1499"	"1776742400"	"16321306624"	"1431384064"	"1291890688"
"08/05/2022 11:09:26.882"	"32.849310937836939672"	"1499"	"1777291264"	"16321306624"	"1431916544"	"1292423168"
"08/05/2022 11:09:27.883"	"20.276669098036858685"	"1499"	"1777840128"	"16321306624"	"1432449024"	"1292955648"
"08/05/2022 11:09:28.883"	"40.654673846440516627"	"1499"	"1778118656"	"16321306624"	"1432715264"	"1293221888"
"08/05/2022 11:09:29.881"	"20.337128262325677497"	"1499"	"1778667520"	"16321306624"	"1433247744"	"1293754368"
"08/05/2022 11:09:30.881"	"32.835113542696852562"	"1499"	"1779359744"	"16321306624"	"1433915392"	"1294422016"
"08/05/2022 11:09:31.880"	"23.446297050653406302"	"1499"	"1779908608"	"16321306624"	"1434447872"	"1294954496"
"08/05/2022 11:09:32.877"	"39.19282397829261555"	"1499"	"1780191232"	"16337887232"	"1434722304"	"1295228928"
