FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
14705,1,0,0,12,12311.407358,1.147904,0.145408,2.307072,1.013760,0.545100,0.000000,1.017900,0.246300,0.004900,0.007900,-15.930623,-5.893922,-5.164423,5.808689,8.296988,5.817189
14706,1,0,0,12,12311.418490,1.149952,0.141312,2.300928,1.009664,0.517700,0.000000,1.153700,0.349400,0.004900,0.008600,-15.847624,-5.894022,-5.136122,5.809588,8.474388,5.818888
14707,1,0,0,12,12311.429592,1.148928,0.092160,2.256896,1.015808,0.521200,0.000000,1.013400,0.293100,0.011200,0.007900,-15.957422,-5.892123,-5.141323,5.809888,8.424588,5.818288
14708,1,0,0,12,12311.440674,1.146880,0.296960,2.455552,1.011712,0.522900,0.000000,1.193800,0.246700,0.006100,0.009100,-15.752923,-5.891923,-5.128923,5.808988,8.376988,5.817688
14709,1,0,0,12,12311.451783,1.147904,0.091136,2.247680,1.008640,0.746400,0.000000,1.084500,0.332400,0.005800,0.008900,-15.888624,-5.893123,-5.126823,5.840788,8.578288,5.851388
14710,1,0,0,12,12311.462908,1.148928,0.092160,2.252800,1.011712,0.559100,0.000000,1.182200,0.283600,0.004700,0.011900,-15.809624,-5.892723,-4.895923,5.884189,8.455989,5.894089
14711,1,0,0,12,12311.473992,1.148928,0.140288,2.293760,1.004544,0.578000,0.000000,1.331400,0.253000,0.013000,0.009900,-15.614323,-5.874823,-4.869123,5.912088,8.417488,5.921088
14712,1,0,0,12,12311.485101,1.148928,0.145408,2.305024,1.010688,0.540900,0.000000,1.439700,0.251700,0.005000,0.008700,-15.476624,-5.894223,-5.060623,5.938989,8.425089,5.947389
14713,1,0,0,12,12311.496207,1.147904,0.141312,2.302976,1.013760,0.495700,0.000000,1.263900,0.259800,0.004900,0.009000,-15.713522,-5.891723,-5.131022,5.966388,8.436288,5.974588
14714,1,0,0,12,12311.507332,1.149952,0.093184,2.252800,1.009664,0.548900,0.000000,1.040900,0.241800,0.004700,0.007600,-15.949423,-5.893723,-5.120224,5.978589,8.278289,5.987489
14715,1,0,0,12,12311.518415,1.154048,0.089088,2.252800,1.009664,0.556700,0.000000,1.191700,0.250400,0.004900,0.007600,-15.760922,-5.894022,-5.121722,5.978389,8.407290,5.987489
14716,1,0,0,12,12311.529520,1.147904,0.093184,2.255872,1.014784,0.533300,0.000000,1.054000,0.233700,0.004600,0.008600,-15.917622,-5.892323,-5.119622,5.978389,8.380689,5.986489
14717,1,0,0,12,12311.540627,1.145856,0.088064,2.244608,1.010688,0.557000,0.000000,1.197900,0.265800,0.004300,0.007300,-15.773521,-5.894923,-5.155222,5.981688,8.447189,5.992788
14718,1,0,0,12,12311.551734,1.144832,0.157696,2.315264,1.012736,0.476400,0.000000,1.039000,0.231300,0.004600,0.008100,-15.937723,-5.895023,-5.077723,5.980388,8.373388,5.988788
14719,1,0,0,12,12311.562836,1.152000,0.143360,2.307072,1.011712,0.556700,0.000000,1.337900,0.243500,0.012700,0.008400,-15.634224,-5.891923,-5.107023,5.980289,8.392989,5.988588
14720,1,0,0,12,12311.573945,1.146880,0.092160,2.246656,1.007616,0.553600,0.000000,1.046100,0.258600,0.012100,0.007600,-15.928022,-5.892523,-5.116723,5.980888,8.452488,5.991289
14721,1,0,0,12,12311.585047,1.155072,0.147456,2.309120,1.006592,0.521600,0.000000,1.180600,0.249800,0.013700,0.008400,-15.786722,-5.893723,-5.097923,5.981589,8.394489,5.990489
14722,1,0,0,12,12311.596182,1.150976,0.143360,2.305024,1.010688,0.530000,0.000000,1.266800,0.257200,0.004800,0.007300,-15.737823,-5.893723,-5.160822,5.980188,8.406889,5.988289
14723,1,0,0,12,12311.607283,1.147904,0.141312,2.296832,1.007616,0.556600,0.000000,1.002800,0.253100,0.013800,0.007600,-15.968622,-5.894223,-5.115723,5.981488,8.401089,5.990288
14724,1,0,0,12,12311.618393,1.148928,0.093184,2.251776,1.009664,0.529500,0.000000,1.186000,0.284400,0.012200,0.008200,-15.791424,-5.893623,-5.117323,5.980289,8.366888,5.988789
14725,1,0,0,12,12311.629470,1.150976,0.134144,2.296832,1.011712,0.536000,0.000000,1.039800,0.270700,0.011500,0.007400,-15.905922,-5.893222,-5.161723,5.980889,8.442589,5.989289
14726,1,0,0,12,12311.640606,1.148928,0.091136,2.250752,1.010688,0.593500,0.000000,1.179200,0.262300,0.005000,0.008300,-15.824822,-5.892622,-5.102623,5.982288,8.413188,5.992288
14727,1,0,0,12,12311.651709,1.147904,0.158720,2.316288,1.009664,0.528200,0.000000,1.032800,0.246500,0.005000,0.008900,-15.930123,-5.893423,-5.095623,5.982089,8.401289,5.991189
14728,1,0,0,12,12311.662820,1.149952,0.135168,2.298880,1.013760,0.526700,0.000000,1.208200,0.253100,0.005800,0.007600,-15.769223,-5.894323,-5.124322,5.980989,8.444689,5.989689
14729,1,0,0,12,12311.673894,1.149952,0.118784,2.279424,1.010688,0.544000,0.000000,1.039000,0.263300,0.005300,0.007500,-15.904622,-5.894523,-5.157022,5.980489,8.428689,5.988789
14730,1,0,0,12,12311.685002,1.150976,0.092160,2.252800,1.009664,0.566900,0.000000,1.164900,0.253900,0.005200,0.008900,-15.814122,-5.892323,-5.076622,5.981588,8.415388,5.999989
14731,1,0,0,12,12311.696117,1.152000,0.143360,2.308096,1.012736,0.562300,0.000000,1.223000,0.264100,0.005000,0.010100,-15.757123,-5.892423,-5.061423,5.981189,8.453089,5.989489
14732,1,0,0,12,12311.707214,1.150976,0.147456,2.312192,1.013760,0.551000,0.000000,1.138900,0.263300,0.014700,0.009500,-15.824324,-5.890623,-5.090823,5.981688,8.416688,5.990888
14733,1,0,0,12,12311.718316,1.149952,0.094208,2.254848,1.010688,0.552100,0.000000,1.203800,0.249000,0.004800,0.009900,-15.763523,-5.893923,-5.101523,5.981089,8.286789,5.989789
14734,1,0,0,12,12311.729422,1.152000,0.141312,2.305024,1.011712,0.532100,0.000000,1.037300,0.245200,0.004600,0.009500,-15.936723,-5.893822,-5.097422,5.982989,8.394588,5.992289
14735,1,0,0,12,12311.740558,1.148928,0.098304,2.254848,1.007616,0.526900,0.000000,1.187800,0.242300,0.004100,0.008100,-15.818022,-5.893122,-5.152022,5.992188,8.391589,6.000588
