Frame, Time (ms)
  365,  4043.761
  366,  4054.605
  367,  4065.668
  368,  4076.598
  369,  4087.475
  370,  4098.871
  371,  4110.497
  372,  4121.351
  373,  4132.129
  374,  4142.994
  375,  4154.770
  376,  4165.868
  377,  4176.835
  378,  4187.755
  379,  4198.646
  380,  4209.898
  381,  4221.725
  382,  4233.066
  383,  4243.663
  384,  4254.385
  385,  4265.291
  386,  4276.262
  387,  4288.200
  388,  4299.447
  389,  4310.189
  390,  4321.042
  391,  4332.252
  392,  4344.089
  393,  4354.653
  394,  4365.997
  395,  4377.210
  396,  4387.375
  397,  4398.385
  398,  4411.260
  399,  4421.463
  400,  4432.655
  401,  4443.676
  402,  4454.252
  403,  4465.303
  404,  4477.615
  405,  4487.993
  406,  4498.997
  407,  4509.999
  408,  4521.012
  409,  4532.010
  410,  4543.054
  411,  4554.836
  412,  4565.876
  413,  4576.971
  414,  4587.657
  415,  4598.959
  416,  4609.997
  417,  4621.562
  418,  4632.967
  419,  4643.422
  420,  4654.440
  421,  4665.808
  422,  4676.282
  423,  4688.408
  424,  4699.397
  425,  4710.298
  426,  4721.144
  427,  4732.174
  428,  4743.357
  429,  4754.332
  430,  4766.096
  431,  4777.433
  432,  4787.920
  433,  4798.852
  434,  4809.954
  435,  4820.751
  436,  4832.736
  437,  4843.791
  438,  4854.820
  439,  4865.547
  440,  4876.811
  441,  4887.940
  442,  4899.929
  443,  4910.786
  444,  4921.615
  445,  4932.350
  446,  4943.398
  447,  4954.163
  448,  4965.638
  449,  4977.762
  450,  4988.175
  451,  4999.109
  452,  5010.106
  453,  5021.108
  454,  5032.126
  455,  5044.146
  456,  5054.905
  457,  5066.007
  458,  5076.705
  459,  5087.766
  460,  5098.533
  461,  5109.884
  462,  5121.551
  463,  5132.422
  464,  5143.370
  465,  5154.338
  466,  5165.428
  467,  5176.435
  468,  5188.111
  469,  5199.413
  470,  5210.309
  471,  5221.261
  472,  5232.019
  473,  5243.390
  474,  5254.854
  475,  5266.407
  476,  5277.455
  477,  5288.077
  478,  5298.945
  479,  5309.658
  480,  5320.848
  481,  5332.588
  482,  5343.833
  483,  5354.562
  484,  5365.697
  485,  5376.342
  486,  5387.839
  487,  5399.540
  488,  5410.448
  489,  5421.196
  490,  5432.744
  491,  5443.723
  492,  5454.235
  493,  5466.079
  494,  5477.487
  495,  5487.857
  496,  5498.766
  497,  5509.786
  498,  5520.946
  499,  5533.195
  500,  5543.805
  501,  5554.720
  502,  5565.400
  503,  5577.038
  504,  5588.058
  505,  5598.626
  506,  5610.205
  507,  5621.489
  508,  5632.378
  509,  5643.315
  510,  5654.244
  511,  5665.033
  512,  5677.391
  513,  5688.113
  514,  5699.424
  515,  5709.939
  516,  5720.884
  517,  5731.687
  518,  5742.817
  519,  5754.436
  520,  5765.489
  521,  5776.597
  522,  5788.547
  523,  5799.048
  524,  5810.512
  525,  5821.050
  526,  5831.959
  527,  5843.480
