Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
874,3381,310,80,41,9999,0,1136,0,4017,4563,2,2,2419,441,2000,1,1,71,72,45,0,60,16,12,0,1440,1584,1624,1271,0,9,38,36,25,21,9,4,5,5,23,0,0,10459,406,0,264,39,303,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,3381,310,80,41,9999,0,979,0,4017,3932,2,2,2419,441,2000,1,1,73,72,47,0,73,0,6,0,1440,1584,1637,1290,0,9,18,38,28,33,0,4,9,10,22,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2874,3381,310,80,41,9999,0,1013,0,4017,4069,2,2,2419,441,2000,1,1,73,72,47,0,73,0,6,0,1440,1584,1627,1291,0,9,36,31,40,25,9,9,9,5,22,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3875,3381,310,80,41,9999,0,970,0,4017,3896,2,2,1171,441,1353,1,1,73,72,47,0,73,0,6,0,1440,1584,1341,1295,0,30,38,36,33,33,30,19,0,10,15,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4874,3381,310,80,41,9999,0,887,0,4017,3563,2,2,1171,441,2000,1,1,66,72,46,0,65,8,6,0,1440,1584,1019,1301,0,19,26,31,36,21,13,10,19,18,18,0,0,10459,406,0,264,39,303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5875,3381,310,80,41,9999,0,999,0,4017,4012,2,2,1171,441,1353,1,1,63,72,47,0,69,3,6,0,1440,1584,950,1290,0,17,18,19,45,25,17,10,14,5,17,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6875,3381,310,80,41,9999,0,969,0,4017,3892,2,2,1171,441,1353,1,1,73,72,47,0,60,14,9,0,1440,1584,930,1293,0,28,43,39,25,42,28,21,25,5,18,0,0,10459,406,0,264,39,303,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7875,3381,310,80,41,9999,0,930,0,4017,3735,2,2,1171,441,1353,1,1,62,72,46,0,60,13,41,0,1440,1584,1482,1316,0,23,31,38,26,22,19,5,23,5,21,0,0,10459,406,0,264,39,303,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8877,3381,310,80,41,9999,0,1018,0,4017,4089,2,2,1171,441,2000,1,1,73,72,47,0,73,0,6,0,1440,1584,1574,1314,0,27,50,39,11,12,0,27,17,9,9,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9875,3381,310,80,41,9999,0,1184,0,4030,4771,2,2,1171,441,1353,1,1,26,72,45,0,25,48,5,0,1440,1584,1771,1306,0,42,36,63,36,36,25,33,42,14,24,0,0,10459,406,0,264,39,303,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10875,3381,310,80,41,9999,0,1240,0,4030,4997,2,2,1171,441,2000,1,1,73,72,47,0,71,0,16,0,1440,1584,1955,1321,0,80,47,57,30,26,80,54,47,10,25,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11875,3381,310,80,41,9999,0,1421,0,4030,5726,2,2,1382,441,1353,1,1,73,72,45,0,68,0,18,0,1440,1584,1897,1312,0,64,54,33,38,44,56,64,52,14,25,0,0,10459,406,0,264,39,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12875,3381,310,80,41,9999,0,1096,0,4030,4416,4,2,1478,441,2000,1,1,28,72,40,0,31,34,5,0,1440,1584,1969,1316,0,100,43,30,35,10,0,100,10,10,10,0,0,10459,406,0,264,39,303,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13875,3381,310,80,41,9999,0,1384,0,4030,5577,4,2,1478,441,2000,1,1,40,72,42,0,10,61,12,0,1440,1584,7935,1467,0,28,30,35,19,31,26,10,28,0,46,0,0,10459,406,0,264,39,303,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
