"(PDH-TSV 4.0) ("	"\\YJYVR04\Process(HQVRMeeting)\% Processor Time"	"\\YJYVR04\Process(HQVRMeeting)\Handle Count"	"\\YJYVR04\Process(HQVRMeeting)\Private Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Virtual Bytes"	"\\YJYVR04\Process(HQVRMeeting)\Working Set"	"\\YJYVR04\Process(HQVRMeeting)\Working Set - Private"
"08/05/2022 11:19:08.594"	"49.759740071040987175"	"1878"	"3748184064"	"18398945280"	"1565433856"	"1414242304"
"08/05/2022 11:19:09.589"	"37.68947251623360728"	"1878"	"3742949376"	"18398945280"	"1569140736"	"1417940992"
"08/05/2022 11:19:10.594"	"45.096047988863055878"	"1878"	"3557945344"	"18231173120"	"1384378368"	"1233178624"
"08/05/2022 11:19:11.587"	"44.044960290070548581"	"1878"	"3558907904"	"18231173120"	"1385324544"	"1234124800"
"08/05/2022 11:19:12.592"	"40.40661035236752241"	"1878"	"3548532736"	"18231173120"	"1383313408"	"1232113664"
"08/05/2022 11:19:13.600"	"62.020691690477647739"	"1878"	"3548958720"	"18247753728"	"1383739392"	"1232539648"
"08/05/2022 11:19:14.594"	"45.573852371193076749"	"1878"	"3561172992"	"18247753728"	"1387593728"	"1236393984"
"08/05/2022 11:19:15.588"	"33.035911961824226069"	"1875"	"3561713664"	"18247745536"	"1390424064"	"1239232512"
"08/05/2022 11:19:16.594"	"46.598470695352567361"	"1876"	"3550953472"	"18247745536"	"1385803776"	"1234612224"
"08/05/2022 11:19:17.587"	"34.594046040121448016"	"1876"	"3551784960"	"18247745536"	"1386614784"	"1235423232"
"08/05/2022 11:19:18.597"	"63.457735093016530925"	"1876"	"3563913216"	"18247745536"	"1390272512"	"1239080960"
"08/05/2022 11:19:19.585"	"39.509878253439346452"	"1876"	"3564371968"	"18247745536"	"1390727168"	"1239535616"
"08/05/2022 11:19:20.595"	"47.957075607974438469"	"1878"	"3552518144"	"18247745536"	"1387261952"	"1236070400"
"08/05/2022 11:19:21.587"	"37.833822953447452164"	"1878"	"3565813760"	"18247745536"	"1392033792"	"1240842240"
"08/05/2022 11:19:22.598"	"58.727813621113966747"	"1878"	"3566563328"	"18247745536"	"1392771072"	"1241579520"
"08/05/2022 11:19:23.593"	"34.52270886213754153"	"1878"	"3567058944"	"18247745536"	"1393262592"	"1242071040"
"08/05/2022 11:19:24.587"	"45.593006412653210191"	"1878"	"3556458496"	"18247745536"	"1391050752"	"1239859200"
"08/05/2022 11:19:25.597"	"52.621803999257096507"	"1878"	"3568635904"	"18247745536"	"1396563968"	"1245364224"
"08/05/2022 11:19:26.593"	"45.466609071447670942"	"1878"	"3558035456"	"18247745536"	"1392676864"	"1241477120"
"08/05/2022 11:19:27.584"	"44.179209859628258528"	"1878"	"3570065408"	"18247745536"	"1396310016"	"1245110272"
"08/05/2022 11:19:28.592"	"35.632704968242649102"	"1878"	"3571023872"	"18247745536"	"1397166080"	"1245966336"
"08/05/2022 11:19:29.599"	"79.182088646379028773"	"1878"	"3559075840"	"18247745536"	"1393729536"	"1242529792"
"08/05/2022 11:19:30.594"	"42.39958697400265919"	"1878"	"3560046592"	"18247745536"	"1394700288"	"1243500544"
"08/05/2022 11:19:31.584"	"31.569323709319768057"	"1878"	"1927548928"	"16605413376"	"1399218176"	"1248018432"
"08/05/2022 11:19:32.592"	"51.10556007679735302"	"1878"	"1928384512"	"16605413376"	"1399967744"	"1248768000"
"08/05/2022 11:19:33.600"	"35.662959405901489163"	"1878"	"1929224192"	"16605413376"	"1400791040"	"1249591296"
"08/05/2022 11:19:34.597"	"31.355536464632660199"	"1878"	"1917648896"	"16605413376"	"1397571584"	"1246371840"
"08/05/2022 11:19:35.590"	"26.736552281698628519"	"1878"	"1929527296"	"16605413376"	"1401073664"	"1249873920"
"08/05/2022 11:19:36.594"	"31.136364723305820945"	"1878"	"1917399040"	"16605413376"	"1397530624"	"1246330880"
"08/05/2022 11:19:37.589"	"37.695208406252618261"	"1878"	"1930485760"	"16621993984"	"1402081280"	"1250881536"
"08/05/2022 11:19:38.598"	"51.072687391571136573"	"1878"	"1931452416"	"16621993984"	"1403052032"	"1251852288"
"08/05/2022 11:19:39.590"	"39.391132338876779784"	"1878"	"1920847872"	"16621993984"	"1400799232"	"1249599488"
"08/05/2022 11:19:40.598"	"38.756201984476284395"	"1878"	"1921228800"	"16621993984"	"1401196544"	"1249996800"
"08/05/2022 11:19:41.592"	"28.303578598811341749"	"1878"	"1921789952"	"16621993984"	"1401745408"	"1250545664"
"08/05/2022 11:19:42.597"	"24.869578954049174513"	"1878"	"1922854912"	"16621993984"	"1402785792"	"1251586048"
"08/05/2022 11:19:43.587"	"36.313240360659818862"	"1878"	"1923497984"	"16621993984"	"1403412480"	"1252212736"
"08/05/2022 11:19:44.598"	"38.606308554960314439"	"1878"	"1935241216"	"16621993984"	"1406795776"	"1255596032"
"08/05/2022 11:19:45.590"	"33.086045498366843276"	"1878"	"1935806464"	"16618848256"	"1407455232"	"1256255488"
"08/05/2022 11:19:46.603"	"40.094406660023906852"	"1878"	"1936654336"	"16618848256"	"1408299008"	"1257099264"
"08/05/2022 11:19:47.598"	"34.5410248902374164"	"1878"	"1926017024"	"16618848256"	"1406029824"	"1254830080"
"08/05/2022 11:19:48.593"	"21.999380095182139883"	"1878"	"1937940480"	"16618848256"	"1411293184"	"1260093440"
"08/05/2022 11:19:49.603"	"54.127845145122009285"	"1872"	"1927589888"	"16618848256"	"1407578112"	"1256378368"
"08/05/2022 11:19:50.598"	"40.822363882663516677"	"1872"	"1928036352"	"16618848256"	"1408028672"	"1256828928"
"08/05/2022 11:19:51.591"	"36.191389837991479794"	"1872"	"1928589312"	"16618848256"	"1408573440"	"1257373696"
"08/05/2022 11:19:52.600"	"37.194517706623727804"	"1872"	"1940426752"	"16618848256"	"1412067328"	"1260867584"
"08/05/2022 11:19:53.588"	"44.250235638826239892"	"1872"	"1941053440"	"16618848256"	"1412685824"	"1261486080"
"08/05/2022 11:19:54.594"	"35.715421509056682225"	"1872"	"1929576448"	"16618848256"	"1409601536"	"1258401792"
"08/05/2022 11:19:55.587"	"36.191794405028048232"	"1872"	"1942646784"	"16618848256"	"1414180864"	"1262981120"
"08/05/2022 11:19:56.597"	"43.334830654910625469"	"1872"	"1930878976"	"16618848256"	"1410826240"	"1259626496"
"08/05/2022 11:19:57.593"	"47.060323554156269665"	"1874"	"1931624448"	"16618848256"	"1411547136"	"1260347392"
"08/05/2022 11:19:58.589"	"23.527202163689498349"	"1872"	"1932320768"	"16618848256"	"1412329472"	"1261129728"
"08/05/2022 11:19:59.598"	"29.442911842739988515"	"1872"	"1945489408"	"16618848256"	"1416982528"	"1265782784"
"08/05/2022 11:20:00.591"	"37.758737976107482837"	"1872"	"1946341376"	"16618848256"	"1417736192"	"1266536448"
"08/05/2022 11:20:01.602"	"35.541317381022011546"	"1872"	"1947070464"	"16635428864"	"1420193792"	"1268994048"
"08/05/2022 11:20:02.593"	"37.83788474317964301"	"1872"	"1947639808"	"16635428864"	"1420767232"	"1269567488"
"08/05/2022 11:20:03.586"	"40.919658367941714516"	"1872"	"1936945152"	"16635428864"	"1416724480"	"1265524736"
"08/05/2022 11:20:04.595"	"43.338822917569558513"	"1872"	"1937686528"	"16635428864"	"1417449472"	"1266249728"
"08/05/2022 11:20:05.590"	"45.534196897856283215"	"1872"	"1949605888"	"16635428864"	"1422708736"	"1271508992"
"08/05/2022 11:20:06.594"	"40.494207758361270066"	"1872"	"1950269440"	"16635428864"	"1423417344"	"1272217600"
"08/05/2022 11:20:07.588"	"39.27328364062761068"	"1872"	"1950613504"	"16635428864"	"1423757312"	"1272557568"
"08/05/2022 11:20:08.602"	"32.377760571036631632"	"1872"	"1940230144"	"16635428864"	"1419935744"	"1268736000"
"08/05/2022 11:20:09.597"	"32.954825299503490044"	"1872"	"1941073920"	"16644644864"	"1429008384"	"1269559296"
"08/05/2022 11:20:10.595"	"39.164456830466754411"	"1872"	"1941815296"	"16635428864"	"1421504512"	"1270304768"
"08/05/2022 11:20:11.590"	"32.95338560949628004"	"1872"	"1942462464"	"16635428864"	"1422147584"	"1270947840"
"08/05/2022 11:20:12.597"	"32.606006162969912054"	"1872"	"1954639872"	"16635428864"	"1425928192"	"1274728448"
"08/05/2022 11:20:13.592"	"31.386436840947602889"	"1872"	"1955221504"	"16635428864"	"1426513920"	"1275314176"
"08/05/2022 11:20:14.602"	"41.769094800474171336"	"1872"	"1943060480"	"16635428864"	"1422925824"	"1271726080"
"08/05/2022 11:20:15.597"	"33.003082902839025792"	"1872"	"1956175872"	"16635428864"	"1427525632"	"1276325888"
"08/05/2022 11:20:16.589"	"37.773011998823903923"	"1872"	"1944621056"	"16635428864"	"1424375808"	"1273176064"
"08/05/2022 11:20:17.595"	"32.62903347060150594"	"1872"	"1958535168"	"16635428864"	"1429774336"	"1278574592"
"08/05/2022 11:20:18.589"	"37.738997295975686086"	"1872"	"1947815936"	"16635428864"	"1427419136"	"1276219392"
"08/05/2022 11:20:19.592"	"37.364795487528382978"	"1872"	"1948090368"	"16635428864"	"1427685376"	"1276485632"
"08/05/2022 11:20:20.606"	"38.538982606376720241"	"1872"	"1960022016"	"16635428864"	"1431318528"	"1280118784"
"08/05/2022 11:20:21.601"	"28.274322351201163883"	"1872"	"1960640512"	"16635428864"	"1431928832"	"1280729088"
"08/05/2022 11:20:22.598"	"29.773990464901491038"	"1872"	"1950138368"	"16635428864"	"1429692416"	"1278492672"
"08/05/2022 11:20:23.591"	"51.93520259437804043"	"1872"	"1950810112"	"16635428864"	"1430380544"	"1279180800"
"08/05/2022 11:20:24.601"	"47.944652940102216121"	"1872"	"1951162368"	"16635428864"	"1430740992"	"1279541248"
"08/05/2022 11:20:25.597"	"47.077503882952520087"	"1872"	"1951780864"	"16635428864"	"1431347200"	"1280147456"
"08/05/2022 11:20:26.593"	"39.213483676198471528"	"1872"	"1952358400"	"16661225472"	"1439047680"	"1280688128"
"08/05/2022 11:20:27.604"	"40.160559197109115814"	"1872"	"1953136640"	"16652009472"	"1432653824"	"1281454080"
"08/05/2022 11:20:28.597"	"23.613163042505806999"	"1872"	"1953566720"	"16661225472"	"1437790208"	"1281896448"
"08/05/2022 11:20:29.591"	"28.293789430224951076"	"1868"	"1954205696"	"16650960896"	"1433751552"	"1282551808"
"08/05/2022 11:20:30.602"	"50.98981805646245391"	"1868"	"1954918400"	"16650960896"	"1434443776"	"1283244032"
"08/05/2022 11:20:31.596"	"39.300752954636898551"	"1868"	"1955606528"	"16650960896"	"1435111424"	"1283911680"
"08/05/2022 11:20:32.588"	"33.071209457342902738"	"1868"	"1967284224"	"16650960896"	"1438408704"	"1287208960"
"08/05/2022 11:20:33.605"	"36.862952879807600937"	"1868"	"1967943680"	"16650960896"	"1439055872"	"1287856128"
"08/05/2022 11:20:34.598"	"34.63654051744724427"	"1868"	"1968467968"	"16650960896"	"1439637504"	"1288437760"
"08/05/2022 11:20:35.597"	"40.670225290523056572"	"1868"	"1969090560"	"16650960896"	"1441988608"	"1290784768"
"08/05/2022 11:20:36.590"	"45.6454240292420792"	"1868"	"1958158336"	"16650960896"	"1437794304"	"1286590464"
"08/05/2022 11:20:37.600"	"34.009112958238787883"	"1868"	"1958981632"	"16650960896"	"1438588928"	"1287385088"
"08/05/2022 11:20:38.595"	"29.846504266831114904"	"1868"	"1970909184"	"16650960896"	"1442045952"	"1290842112"
"08/05/2022 11:20:39.591"	"25.093513487362002934"	"1868"	"1971453952"	"16650960896"	"1442574336"	"1291370496"
"08/05/2022 11:20:40.596"	"38.885756459739198476"	"1868"	"1971736576"	"16650960896"	"1442947072"	"1291743232"
"08/05/2022 11:20:41.587"	"25.209610347153478926"	"1868"	"1972486144"	"16650960896"	"1445384192"	"1294180352"
"08/05/2022 11:20:42.597"	"40.228256862346476908"	"1868"	"1961811968"	"16650960896"	"1441394688"	"1290190848"
"08/05/2022 11:20:43.592"	"47.113720510454420776"	"1868"	"1973944320"	"16650960896"	"1445109760"	"1293905920"
"08/05/2022 11:20:44.599"	"27.941694104168423252"	"1868"	"1974554624"	"16650960896"	"1446309888"	"1295106048"
"08/05/2022 11:20:45.594"	"37.664760729334403777"	"1868"	"1974849536"	"16652009472"	"1446580224"	"1295376384"
"08/05/2022 11:20:46.585"	"39.421101937999395659"	"1867"	"1975631872"	"16652009472"	"1446690816"	"1295486976"
"08/05/2022 11:20:47.596"	"52.561561089742390607"	"1867"	"1976049664"	"16652009472"	"1447084032"	"1295880192"
"08/05/2022 11:20:48.589"	"40.905575432448706863"	"1867"	"1965481984"	"16652009472"	"1444888576"	"1293684736"
"08/05/2022 11:20:49.602"	"29.315894650993474357"	"1867"	"1966026752"	"16652009472"	"1445416960"	"1294213120"
"08/05/2022 11:20:50.595"	"51.899760211784240482"	"1867"	"1966989312"	"16652009472"	"1446363136"	"1295159296"
"08/05/2022 11:20:51.586"	"58.35659942606883277"	"1867"	"1967464448"	"16652009472"	"1446825984"	"1295622144"
"08/05/2022 11:20:52.594"	"40.285557917542583084"	"1867"	"1968017408"	"16652009472"	"1447432192"	"1296228352"
"08/05/2022 11:20:53.583"	"45.822944692401001987"	"1867"	"1968566272"	"16652009472"	"1447976960"	"1296773120"
"08/05/2022 11:20:54.593"	"40.236831265102431132"	"1867"	"1969139712"	"16668590080"	"1448534016"	"1297330176"
"08/05/2022 11:20:55.584"	"50.454178423331143222"	"1867"	"1969762304"	"16668590080"	"1449140224"	"1297936384"
"08/05/2022 11:20:56.596"	"41.682833430803235331"	"1867"	"1970032640"	"16668590080"	"1449435136"	"1298231296"
"08/05/2022 11:20:57.593"	"28.201827418252804591"	"1867"	"1970712576"	"16668590080"	"1450082304"	"1298878464"
"08/05/2022 11:20:58.588"	"40.84153774899137801"	"1867"	"1971564544"	"16668590080"	"1450819584"	"1299615744"
"08/05/2022 11:20:59.601"	"27.760767624460036984"	"1867"	"1970831360"	"16668590080"	"1450233856"	"1299030016"
"08/05/2022 11:21:00.598"	"32.930033876913476831"	"1867"	"1972416512"	"16668590080"	"1451687936"	"1300484096"
"08/05/2022 11:21:01.592"	"55.006941813191744473"	"1867"	"1973174272"	"16668590080"	"1452396544"	"1301192704"
"08/05/2022 11:21:02.600"	"46.504101885005944439"	"1867"	"1973583872"	"16668590080"	"1452859392"	"1301655552"
"08/05/2022 11:21:03.592"	"44.090862045386678858"	"1867"	"1974132736"	"16668590080"	"1453408256"	"1302204416"
"08/05/2022 11:21:04.586"	"42.460884404236679757"	"1867"	"1986383872"	"16668590080"	"1456615424"	"1305411584"
"08/05/2022 11:21:05.596"	"29.389185076877154756"	"1867"	"1975668736"	"16668590080"	"1454866432"	"1303662592"
"08/05/2022 11:21:06.590"	"25.13566977762473087"	"1867"	"1976025088"	"16668590080"	"1455230976"	"1304027136"
"08/05/2022 11:21:07.603"	"33.961911086876988008"	"1867"	"1976573952"	"16668590080"	"1455837184"	"1304633344"
"08/05/2022 11:21:08.595"	"44.076825251557778529"	"1867"	"1977167872"	"16668590080"	"1456435200"	"1305231360"
"08/05/2022 11:21:09.585"	"33.156012871353659932"	"1867"	"1977438208"	"16668590080"	"1456697344"	"1305493504"
"08/05/2022 11:21:10.596"	"29.366948015630189417"	"1867"	"1978171392"	"16668590080"	"1457336320"	"1306132480"
"08/05/2022 11:21:11.591"	"50.220346793591566836"	"1867"	"1979002880"	"16668590080"	"1458143232"	"1306939392"
"08/05/2022 11:21:12.598"	"35.680822864559218033"	"1867"	"1979596800"	"16668590080"	"1458761728"	"1307557888"
"08/05/2022 11:21:13.592"	"66.042540755417974196"	"1867"	"1991139328"	"16668590080"	"1461948416"	"1310744576"
