Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
11989,3062,315,9,36,187,0,150,0,3695,554,4,3,1478,490,1353,0,0,72,72,24,0,0,0,0,0,1440,1584,1255,1134,0,14,42,43,23,21,0,9,14,5,19,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12989,3062,315,9,36,187,0,183,0,3695,676,4,3,1478,490,1353,0,0,62,72,28,0,13,12,0,0,1440,1584,1270,1135,0,17,33,33,11,11,13,10,17,5,18,0,0,10389,401,0,264,41,305,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13989,3062,315,9,36,187,0,146,0,3695,539,4,3,1478,490,1353,0,0,72,72,28,0,3,0,0,0,1440,1584,1314,1123,0,14,12,31,30,22,9,5,14,9,19,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
14989,3062,315,9,36,187,0,192,0,3695,709,4,3,1478,490,1353,0,0,72,72,29,0,0,0,0,0,1440,1584,1360,1125,0,10,21,39,16,19,0,5,10,5,19,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
15989,3062,315,9,36,187,0,26,0,3695,96,4,3,1478,490,2000,0,0,72,72,26,0,0,0,0,0,1440,1584,850,1111,0,43,33,27,21,33,43,33,30,10,13,0,0,10389,401,0,264,41,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
16989,3062,315,9,36,26,0,23,0,3680,84,5,3,1766,490,1555,0,0,33,72,28,0,0,32,0,0,1440,1584,3842,1167,0,28,22,38,33,12,15,27,28,9,35,0,0,10389,401,0,264,41,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17989,3062,315,9,36,9999,0,69,0,3680,253,5,3,1766,490,1555,0,0,69,72,38,0,21,12,0,0,1440,1584,2208,1180,0,18,23,39,16,25,10,14,18,13,26,0,0,10389,401,0,264,41,305,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18989,3062,315,9,36,9999,0,5,0,3680,18,4,3,1478,490,1555,0,0,72,72,53,0,139,1,0,0,1440,1584,2215,1182,0,18,52,35,18,31,10,18,14,9,26,0,0,10389,401,0,264,41,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20012,2900,486,9,36,9999,0,113,0,3680,415,4,3,1478,490,1555,0,0,71,72,51,0,144,0,0,0,1440,1584,2186,1190,0,18,37,23,25,16,18,18,14,9,25,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20989,2900,486,9,36,9999,0,92,0,3680,338,4,3,1478,490,1353,0,0,72,72,31,0,7,0,0,0,1440,1584,2385,1181,0,22,6,27,33,34,14,22,10,9,27,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21990,2900,486,9,36,9999,0,97,0,3680,356,4,3,1478,490,1353,0,0,72,72,29,0,0,0,0,0,1440,1584,2155,1167,0,19,29,12,11,17,19,10,19,17,26,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22989,2900,486,9,36,9999,0,87,0,3680,320,4,3,1478,490,1353,0,0,72,72,29,0,0,0,0,0,1440,1584,2306,1168,0,18,27,35,21,17,18,14,14,13,26,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
23989,2900,486,9,36,9999,0,83,0,3680,305,4,3,1478,490,1353,0,0,72,72,29,0,0,0,0,0,1440,1584,2577,1166,0,18,30,38,5,23,18,10,18,9,28,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
24989,2900,486,9,36,83,0,25,0,3688,92,4,3,1478,490,1555,0,0,72,72,28,0,0,0,0,0,1440,1584,2497,1189,0,19,35,23,35,26,14,14,19,14,28,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
25990,2900,486,9,36,83,0,2,0,3688,7,4,3,1478,490,1353,0,0,72,72,27,0,0,0,0,0,1440,1584,2399,1213,0,19,30,33,21,31,5,10,19,14,27,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
26989,2900,486,9,36,83,0,52,0,3685,191,5,3,1766,490,1555,0,0,59,72,33,0,15,15,0,0,1440,1584,2843,1185,0,14,27,38,16,17,14,9,14,14,30,0,0,10976,575,0,425,49,474,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
27990,2900,486,9,36,52,0,45,0,3685,165,5,3,1766,490,1555,0,0,72,72,30,0,0,0,0,0,1440,1584,2942,1176,0,22,30,36,25,16,22,5,19,5,31,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
28989,2900,486,9,36,52,0,42,0,3685,154,4,3,1478,490,1555,0,0,72,72,31,0,0,0,0,0,1440,1584,3058,1186,0,19,22,39,26,28,10,10,19,17,32,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
29990,2900,486,9,36,52,0,57,0,3685,210,4,3,1478,490,1555,0,0,72,72,30,0,0,0,0,0,1440,1584,3025,1179,0,22,23,16,33,6,10,22,14,14,32,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
30990,2900,486,9,36,52,0,19,0,3685,70,4,3,1478,490,1555,0,0,70,72,31,0,4,4,0,0,1440,1584,4232,1160,0,26,45,23,17,15,26,10,0,5,40,0,0,10976,575,0,425,49,474,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
31995,2900,486,9,36,52,0,192,0,3685,707,4,3,1478,490,2000,0,0,72,72,32,0,0,0,0,0,1440,1584,4174,1100,0,50,36,31,38,0,50,47,36,25,37,0,0,10976,575,0,425,49,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
