Frame, Time (ms)
  365,  4048.326
  366,  4059.505
  367,  4069.917
  368,  4080.990
  369,  4092.066
  370,  4103.351
  371,  4114.389
  372,  4124.960
  373,  4136.358
  374,  4147.707
  375,  4158.596
  376,  4170.364
  377,  4180.875
  378,  4191.762
  379,  4202.559
  380,  4213.819
  381,  4225.424
  382,  4236.539
  383,  4247.379
  384,  4258.583
  385,  4269.159
  386,  4280.201
  387,  4292.677
  388,  4303.654
  389,  4314.147
  390,  4325.609
  391,  4336.193
  392,  4347.026
  393,  4358.902
  394,  4369.975
  395,  4380.920
  396,  4391.199
  397,  4403.114
  398,  4414.354
  399,  4425.137
  400,  4436.223
  401,  4447.004
  402,  4458.301
  403,  4469.477
  404,  4480.562
  405,  4492.046
  406,  4503.553
  407,  4514.571
  408,  4525.313
  409,  4536.307
  410,  4547.148
  411,  4558.105
  412,  4570.234
  413,  4580.449
  414,  4591.583
  415,  4602.541
  416,  4613.718
  417,  4625.506
  418,  4636.513
  419,  4647.708
  420,  4658.238
  421,  4669.248
  422,  4680.142
  423,  4692.127
  424,  4703.135
  425,  4714.073
  426,  4725.544
  427,  4736.524
  428,  4747.142
  429,  4758.949
  430,  4769.775
  431,  4780.771
  432,  4791.660
  433,  4803.005
  434,  4813.664
  435,  4825.424
  436,  4837.032
  437,  4847.523
  438,  4858.852
  439,  4870.340
  440,  4880.900
  441,  4891.746
  442,  4903.079
  443,  4913.960
  444,  4924.717
  445,  4937.067
  446,  4947.712
  447,  4959.092
  448,  4969.032
  449,  4981.413
  450,  4991.971
  451,  5003.387
  452,  5014.446
  453,  5024.912
  454,  5035.737
  455,  5046.708
  456,  5058.766
  457,  5069.659
  458,  5080.115
  459,  5092.169
  460,  5103.569
  461,  5114.625
  462,  5124.961
  463,  5135.968
  464,  5147.149
  465,  5158.143
  466,  5169.758
  467,  5180.329
  468,  5191.388
  469,  5202.274
  470,  5213.268
  471,  5225.332
  472,  5236.120
  473,  5247.707
  474,  5258.812
  475,  5269.798
  476,  5280.786
  477,  5291.548
  478,  5302.747
  479,  5314.672
  480,  5325.719
  481,  5336.606
  482,  5347.560
  483,  5358.571
  484,  5369.521
  485,  5380.238
  486,  5391.173
  487,  5403.438
  488,  5414.386
  489,  5424.981
  490,  5436.638
  491,  5446.889
  492,  5457.818
  493,  5470.509
  494,  5480.972
  495,  5491.883
  496,  5502.739
  497,  5513.670
  498,  5524.862
  499,  5537.123
  500,  5547.421
  501,  5559.063
  502,  5569.771
  503,  5580.554
  504,  5591.433
  505,  5602.462
  506,  5614.441
  507,  5625.255
  508,  5636.748
  509,  5647.033
  510,  5658.158
  511,  5669.366
  512,  5681.322
  513,  5692.393
  514,  5702.893
  515,  5714.405
  516,  5724.914
  517,  5735.813
  518,  5747.309
  519,  5759.201
  520,  5769.708
  521,  5781.380
  522,  5791.538
  523,  5802.560
  524,  5813.572
  525,  5825.543
  526,  5836.734
  527,  5847.542
  528,  5858.657
  529,  5869.613
  530,  5880.220
  531,  5891.761
  532,  5903.487
  533,  5914.618
  534,  5925.664
  535,  5936.612
  536,  5946.976
  537,  5958.067
  538,  5969.084
  539,  5980.859
  540,  5991.876
  541,  6002.984
  542,  6013.972
  543,  6024.637
  544,  6037.036
  545,  6048.018
  546,  6058.980
  547,  6069.926
  548,  6081.025
  549,  6092.488
  550,  6102.337
  551,  6114.822
  552,  6125.226
  553,  6136.283
  554,  6147.568
  555,  6158.251
  556,  6170.106
  557,  6181.422
  558,  6192.321
  559,  6203.498
  560,  6213.721
  561,  6225.389
  562,  6235.604
  563,  6248.318
  564,  6258.833
  565,  6269.600
  566,  6280.696
  567,  6291.399
  568,  6302.777
  569,  6314.832
  570,  6325.438
  571,  6336.671
  572,  6347.812
  573,  6358.724
  574,  6369.362
  575,  6380.201
  576,  6392.106
  577,  6403.165
  578,  6414.693
  579,  6425.109
  580,  6436.135
  581,  6447.115
  582,  6459.033
  583,  6470.024
  584,  6481.256
  585,  6492.209
  586,  6503.008
  587,  6514.010
  588,  6524.628
  589,  6537.147
  590,  6548.159
  591,  6559.157
  592,  6570.271
  593,  6580.543
  594,  6591.441
  595,  6602.564
  596,  6614.446
  597,  6625.293
  598,  6636.363
  599,  6647.562
  600,  6658.379
  601,  6669.523
