Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
997,3570,285,70,34,0,0,65,0,4034,262,2,2,2419,441,2000,0,0,70,72,36,0,0,0,0,0,1440,1584,1102,721,0,9,45,26,27,44,9,9,5,9,14,0,0,10420,388,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,3570,285,70,34,0,0,0,0,4033,0,2,2,2419,441,2000,0,0,73,72,37,0,0,0,0,0,1440,1584,1156,979,140,13,27,39,51,48,9,13,0,5,18,0,0,10420,388,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2997,3570,285,70,34,0,0,0,0,4033,0,2,2,2419,441,2000,0,0,73,72,36,0,0,0,0,0,1440,1584,1167,979,141,13,42,21,36,54,9,5,13,4,18,0,0,10420,388,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3997,3570,285,70,34,0,0,0,0,4033,0,2,2,1171,441,1353,0,0,73,72,37,0,0,0,0,0,1440,1584,1167,979,141,13,42,21,36,54,9,5,13,4,18,0,0,10420,388,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4997,3570,285,70,34,0,0,0,0,4033,0,2,2,1478,441,1353,0,0,72,72,36,0,0,0,0,0,1440,1584,1170,978,140,100,31,45,16,50,100,0,0,9,9,0,0,10420,388,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5998,3570,285,70,34,0,0,0,0,4033,0,4,2,1478,441,1353,0,0,19,72,36,0,7,62,0,0,1440,1584,2069,978,141,71,36,39,37,34,71,30,0,9,9,0,0,10420,388,0,230,46,276,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6998,3570,285,70,34,0,0,0,0,4033,0,4,2,1478,441,1353,0,0,19,72,36,0,7,62,0,0,1440,1584,2069,978,141,71,36,39,37,34,71,30,0,9,9,0,0,10420,388,0,230,46,276,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7998,3570,285,70,34,0,0,0,0,4033,0,4,2,1478,441,2000,0,0,6,72,55,0,0,73,0,0,1440,1584,135,1015,138,69,61,29,52,54,64,69,39,9,10,0,0,10420,388,0,230,46,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8998,3570,285,70,34,0,0,65,0,4033,262,4,2,1478,441,1353,0,0,58,72,41,0,11,34,0,0,1440,1584,139,1000,144,18,60,31,31,56,18,18,18,9,11,0,0,10420,388,0,230,46,276,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9998,3570,285,70,34,0,0,132,0,4033,532,4,2,1478,441,2000,0,0,58,72,42,0,11,34,0,0,1440,1584,139,1000,144,18,60,31,31,56,18,18,18,9,11,0,0,10420,388,0,230,46,276,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10998,3570,285,70,34,0,0,0,0,4033,0,4,2,1478,441,1353,0,0,58,72,41,0,11,34,0,0,1440,1584,139,1000,144,18,60,31,31,56,18,18,18,9,11,0,0,10420,388,0,230,46,276,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11998,3570,285,70,34,0,0,0,0,4033,0,4,2,1478,490,1353,0,0,58,72,41,0,11,34,0,0,1440,1584,139,1000,144,18,60,31,31,56,18,18,18,9,11,0,0,10420,388,0,230,46,276,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12998,3570,285,70,34,0,0,0,0,4033,0,4,2,1478,525,1353,0,0,58,72,41,0,11,34,0,0,1440,1584,139,1000,144,18,60,31,31,56,18,18,18,9,11,0,0,10420,388,0,230,46,276,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
